token,count
client.on,25
client.off,22
channel.on,11
channel.off,10
sendMessage,10
client.channel,7
deleteMessage,6
channel.query,4
channel.state.loadMessageIntoState,4
truncate,4
channel.watch,3
polls.fromState,3
client.queryChannels,3
search,2
lastRead,2
connectUser,2
disconnectUser,2
channel.getClient,2
channel.countUnread,2
channel.muteStatus,2
castVote,2
on,2
client.threads.deactivate,2
addError,1
findMessage,1
pinMessage,1
unpinMessage,1
muteUser,1
unmuteUser,1
queryReactions,1
flagMessage,1
sendReaction,1
deleteReaction,1
markUnread,1
sendAction,1
stopAIResponse,1
getDraft,1
stopTyping,1
client.threads.state,1
channel.markRead,1
client.deleteMessage,1
channel.sendMessage,1
channel.getReplies,1
client.updateMessage,1
countUnread,1
reminders.deleteReminder,1
reminders.createReminder,1
reminders.scheduledOffsetsMs,1
reminders.upsertReminder,1
getAppSettings,1
getUserAgent,1
setUserAgent,1
threads.registerSubscriptions,1
polls.registerSubscriptions,1
reminders.registerSubscriptions,1
reminders.initTimers,1
threads.unregisterSubscriptions,1
polls.unregisterSubscriptions,1
reminders.unregisterSubscriptions,1
reminders.clearTimers,1
query,1
channel.unpin,1
channel.pin,1
channel.unarchive,1
channel.archive,1
removeVote,1
on(poll.vote_casted),1
on(poll.vote_removed),1
on(poll.vote_changed),1
queryAnswers,1
queryOptionVotes,1
createPollOption,1
addAnswer,1
close,1
client.queryUsers,1
client.threads.activate,1
client.threads.loadNextPage,1
client.threads.reload,1
notifications.store,1
client.reminders.deleteReminder,1
client.reminders.createReminder,1
